Contract ID,Project ID,Project Title,Contract No,Procurement Group,Country,No Objection Date,Team Leader,Procurement Method,Borrower Contract Reference,Signing Date,Total Contract Amount,Review Type
1880035,P171316,Growing Up and Learning Together: Comprehensive Early Childhood Development in El Salvador,1880035,Non-consulting Services,El Salvador,"April 9, 2026",Isy Faingold Vigil,Request for Bids,SDO NO. 71/2025 MINEDUCYT-BIRF,"January 14, 2026",134797.7,Post
1880036,P173749,Benin Electricity Access Scale-up (BEAS) Project,1880036,Goods,Benin,"April 9, 2026",Justin Marie Bienvenu Beleoken Sanguen,Request for Quotations,BJ-PIU-497127-GO-RFQ,"January 27, 2026",35181.07,Post
1880037,P505179,Supporting the Federal Policy for Enhancing Foundational Literacy,1880037,Consultant Services,Argentina,"April 9, 2026",Alonso Sanchez,Direct Selection,AR-ME-468827-CS-CDS,"January 1, 2025",2910.14,Post
1880038,P162833,Improving the Performance of Non-Criminal Justice Services,1880038,Consultant Services,Peru,"April 9, 2026",Ruben Leonel Ruano Chinchilla,Individual Consultant Selection,PE-PJ-488144-CS-INDV,"July 25, 2025",11624.36,Post
1880039,P173283,"Territorial Economic Empowerment for the Indigenous, Afro-Ecuadorians and Montubian Peoples and Nationalities (TEEIPAM)",1880039,Non-consulting Services,Ecuador,"April 9, 2026",Kosuke Anan,Request for Quotations,IEPS-PROFECPIAM-002-2025,"April 10, 2025",5000.0,Post
1880040,P167798,Cameroon-Chad Transport Corridor,1880040,Consultant Services,Cameroon,"April 9, 2026",Jean Philippe Garcon,Consultant Qualification Selection,CM-MINT-486045-CS-CQS,"March 18, 2026",94993.8,Post
1880042,P167798,Cameroon-Chad Transport Corridor,1880042,Consultant Services,Cameroon,"April 9, 2026",Jean Philippe Garcon,Consultant Qualification Selection,CM-MINT-377904-CS-CQS,"March 6, 2026",65109.76,Post
1880043,P173749,Benin Electricity Access Scale-up (BEAS) Project,1880043,Goods,Benin,"April 9, 2026",Justin Marie Bienvenu Beleoken Sanguen,Request for Quotations,BJ-PIU-497133-GO-RFQ,"February 12, 2026",27782.45,Post
1880045,P172425,Competitive Value Chains for Jobs and Economic Transformation Project,1880045,Consultant Services,Mali,"April 9, 2026",Adja Mansora Dahourou,Quality And Cost-Based Selection,CI-UC - PCCET-422374-CS-QCBS,"July 16, 2025",722362.23,Post
1880044,P164961,Malawi Governance to Enable Service Delivery Project,1880044,Goods,Malawi,"April 9, 2026",Eva Maria Melis,Request for Quotations,MW-ZADC-519592-GO-RFQ,"February 16, 2026",22189.58,Post
1880046,P173749,Benin Electricity Access Scale-up (BEAS) Project,1880046,Non-consulting Services,Benin,"April 9, 2026",Justin Marie Bienvenu Beleoken Sanguen,Request for Quotations,BJ-PIU-477105-NC-RFQ,"March 6, 2026",80008.58,Post
1880047,P164961,Malawi Governance to Enable Service Delivery Project,1880047,Goods,Malawi,"April 9, 2026",Eva Maria Melis,Request for Quotations,MW-ZADC-519595-GO-RFQ,"February 16, 2026",12082.3,Post
1880049,P162278,National Urban Cadaster and Municipal Support Project,1880049,Consultant Services,Peru,"April 9, 2026",Gabriel Sergio Arrisueno Fajardo,Individual Consultant Selection,CONTRATO No 030-2026-UE003/COFOPRI,"March 25, 2026",10497.4,Post
1880048,P173749,Benin Electricity Access Scale-up (BEAS) Project,1880048,Goods,Benin,"April 9, 2026",Justin Marie Bienvenu Beleoken Sanguen,Request for Quotations,BJ-PIU-476368-GO-RFQ,"October 16, 2025",35272.37,Post
1880050,P505179,Supporting the Federal Policy for Enhancing Foundational Literacy,1880050,Consultant Services,Argentina,"April 9, 2026",Alonso Sanchez,Direct Selection,AR-ME-468830-CS-CDS,"January 1, 2025",994.5,Post
1880051,P505179,Supporting the Federal Policy for Enhancing Foundational Literacy,1880051,Consultant Services,Argentina,"April 9, 2026",Alonso Sanchez,Direct Selection,AR-ME-468836-CS-CDS,"January 1, 2025",1988.99,Post
1880052,P505179,Supporting the Federal Policy for Enhancing Foundational Literacy,1880052,Consultant Services,Argentina,"April 9, 2026",Alonso Sanchez,Direct Selection,AR-ME-468853-CS-CDS,"January 1, 2025",16030.45,Post
